"ModulesID","Parent","IsParent","Status","MenuOrder","viewName","Name","Link"
"625","598","0","0","6"," Salary Structure","SalaryStructure","#"
"630","598","0","0","3"," Payroll Voucher","PayrollVoucher","#"
"600","599","1","0","2","Edit PayrollUnits","Edit PayrollUnits","#"
"601","599","1","0","3","Delete PayrollUnits","Delete PayrollUnits","#"
"602","599","1","0","1","Create PayrollUnits","Create PayrollUnits","#"
"604","603","1","0","2","Create AttendanceType","Create AttendanceType","#"
"605","603","1","0","3","Edit AttendanceType","Delete AttendanceType","#"
"606","603","1","0","2","Edit AttendanceType","Edit AttendanceType","#"
"608","607","1","0","100","Create","Create EmployeeGrade","/Hr/EmployeeGrade/Create"
"609","607","1","0","100","Edit","Edit EmployeeGrade","/Hr/EmployeeGrade/Edit"
"610","607","1","0","100","Delete","Delete EmployeeGrade","/Hr/EmployeeGrade/Delete"
"612","611","1","0","100","Create","Create WorkShift","/Hr/WorkShift/Create"
"613","611","1","0","100","Edit","Edit WorkShift","/Hr/WorkShift/Edit"
"614","611","1","0","100","Delete","Delete WorkShift","/Hr/WorkShift/Delete"
"616","615","1","0","2","List","Payhead List","/Hr/Payhead"
"617","615","1","0","1","Create","Create Payhead","/Hr/Payhead/Create"
"618","615","1","0","3","Edit Payhead","Edit Payhead","#"
"619","615","1","0","4","Delete Payhead","Delete Payhead","#"
"621","620","1","0","1","Create","Create Attendance","/Hr/Attendance/Create"
"622","620","0","0","2","List","Attendance List","/Hr/Attendance/Index"
"623","622","1","0","100","Edit","Edit Attendance","/Hr/Attendance/Edit"
"624","622","1","0","100","Delete","Delete Attendance","/Hr/Attendance/Delete"
"626","625","1","0","1","Create","Create SalaryStructure","/Hr/SalaryStructure/Create"
"627","625","0","0","2","List","SalaryStructure List","/Hr/SalaryStructure/Index"
"628","627","1","0","100","Edit","Edit SalaryStructure","/Hr/SalaryStructure/Edit"
"629","627","1","0","100","Delete","Delete SalaryStructure","/Hr/SalaryStructure/Delete"
"631","630","1","0","1","Create","Create PayrollVoucher","/Hr/PayrollVoucher/Create"
"632","630","0","0","2","List","PayrollVoucher List","/Hr/PayrollVoucher/Index"
"633","632","1","0","100","Edit","Edit PayrollVoucher","/Hr/PayrollVoucher/Edit"
"634","632","1","0","100","Delete","Delete PayrollVoucher","/Hr/PayrollVoucher/Delete"
"647","646","1","0","1","Create","Create DailyAttendance","/Hr/DailyAttendance/Create"
"648","646","0","0","2","List","DailyAttendance List","/Hr/DailyAttendance/Index"
"234343437","646","1","0","10","Attendance Report","Attendance Report","/hr/AttendanceReport/AttendanceSheet"
"649","648","1","0","100","Delete","Delete DailyAttendance","/Hr/DailyAttendance/Delete"
